date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:40	122/122	---M--	200	added ('OK')	text/plain	date:Mon,%2004%20Jul%202022%2017:33:44%20GMT	https://englishwithlucy.co.uk/robots.txt		(from )
23:18:40	114189/114189	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:33:45%20GMT	https://englishwithlucy.co.uk/phonemic-chart/	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/phonemic-chart/index.html	(from )
23:18:41	88870/88870	---MCZ	200	added ('OK')	text/css	etag:W/%22628fb354-15b26%22	https://englishwithlucy.co.uk/wp-includes/css/dist/block-library/style.min.css?ver=6.0	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-includes/css/dist/block-library/style.minf049.css	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:41	1415/1415	---MCZ	200	added ('OK')	text/css	etag:W/%2262b9b320-587%22	https://englishwithlucy.co.uk/wp-content/plugins/convertkit/resources/frontend/css/broadcasts.css?ver=1.9.7.9	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/plugins/convertkit/resources/frontend/css/broadcastsab84.css	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:42	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%2262b49f5c-aab%22	https://englishwithlucy.co.uk/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/plugins/contact-form-7/includes/css/styles40df.css	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:42	56650/56650	---MCZ	200	added ('OK')	text/css	etag:W/%2262b9b322-dd4a%22	https://englishwithlucy.co.uk/wp-content/plugins/quiz-maker/public/css/quiz-maker-public.css?ver=6.3.4.2	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/plugins/quiz-maker/public/css/quiz-maker-public8dfe.css	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:42	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225f8738f7-2606e%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/css/bootstrap.min.css?ver=6.0	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/css/bootstrap.minf049.css	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:43	56517/56517	---MCZ	200	added ('OK')	text/css	etag:W/%225f8738f7-dcc5%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/css/fontawesome.min.css?ver=6.0	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/css/fontawesome.minf049.css	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:43	36701/36701	---MCZ	200	added ('OK')	text/css	etag:W/%225f998ce0-8f5d%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/style.css?ver=1.1.0	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/stylef488.css	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:44	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%226216da33-15db1%22	https://englishwithlucy.co.uk/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-includes/js/jquery/jquery.minaf6c.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
